epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,452.94,0.78066,0.62038,0.91709,0.66964,0.49511,0.5461,0.36571,1.07901,0.8933,0.91137,0.000577782,0.000577782,0.000577782
68,458.929,0.87521,0.6867,0.92346,0.6066,0.47641,0.49898,0.33077,1.08039,0.98316,0.92499,0.000561279,0.000561279,0.000561279
69,465.615,0.83487,0.62554,0.93165,0.61047,0.41737,0.45772,0.31893,1.10226,1.1287,0.93772,0.000544776,0.000544776,0.000544776
70,471.917,0.81492,0.64766,0.91831,0.55352,0.53742,0.51362,0.35466,1.13968,0.99358,0.94844,0.000528272,0.000528272,0.000528272
71,478.425,0.85978,0.65242,0.93025,0.56931,0.47193,0.4815,0.36178,1.16016,1.03981,0.93433,0.000511769,0.000511769,0.000511769
72,485.504,0.85882,0.65908,0.94326,0.66219,0.51749,0.58006,0.40673,1.10152,0.9583,0.93757,0.000495266,0.000495266,0.000495266
73,491.985,0.79819,0.60426,0.92561,0.72737,0.53742,0.60574,0.42717,1.07472,0.92355,0.93297,0.000478762,0.000478762,0.000478762
74,498.415,0.85362,0.62742,0.93518,0.72608,0.51628,0.56624,0.41027,1.16301,1.01337,0.92979,0.000462259,0.000462259,0.000462259
75,504.65,0.78724,0.58744,0.91951,0.64762,0.5511,0.56944,0.39362,1.16165,0.98103,0.93607,0.000445756,0.000445756,0.000445756
76,511.536,0.77975,0.60642,0.907,0.62538,0.5395,0.56582,0.3999,1.0759,0.90887,0.92542,0.000429253,0.000429253,0.000429253
77,518.338,0.75834,0.57533,0.90098,0.71935,0.60499,0.60147,0.41511,1.09371,0.85839,0.93294,0.000412749,0.000412749,0.000412749
78,525.012,0.82045,0.58797,0.91314,0.71437,0.56546,0.63528,0.4412,1.17469,0.87836,0.94018,0.000396246,0.000396246,0.000396246
